date,meal_period,dish_name,prepared_qty,sold_qty,unit_price,unit_cost,weather,event_name,footfall
2026-06-01,lunch,番茄炒蛋,100,82,8,3.0,sunny,,300
2026-06-01,lunch,红烧茄子,90,74,7,2.5,sunny,,300
2026-06-01,lunch,辣子鸡,120,97,12,5.0,sunny,,300
2026-06-01,lunch,牛肉面,80,65,14,6.0,sunny,,300
2026-06-01,dinner,番茄炒蛋,100,82,8,3.0,sunny,,300
2026-06-01,dinner,红烧茄子,90,74,7,2.5,sunny,,300
2026-06-01,dinner,辣子鸡,120,97,12,5.0,sunny,,300
2026-06-01,dinner,牛肉面,80,65,14,6.0,sunny,,300
2026-06-02,lunch,番茄炒蛋,100,89,8,3.0,sunny,,315
2026-06-02,lunch,红烧茄子,90,75,7,2.5,sunny,,315
2026-06-02,lunch,辣子鸡,120,106,12,5.0,sunny,,315
2026-06-02,lunch,牛肉面,80,70,14,6.0,sunny,,315
2026-06-02,dinner,番茄炒蛋,100,89,8,3.0,sunny,,315
2026-06-02,dinner,红烧茄子,90,75,7,2.5,sunny,,315
2026-06-02,dinner,辣子鸡,120,106,12,5.0,sunny,,315
2026-06-02,dinner,牛肉面,80,70,14,6.0,sunny,,315
2026-06-03,lunch,番茄炒蛋,100,79,8,3.0,hot,,330
2026-06-03,lunch,红烧茄子,90,71,7,2.5,hot,,330
2026-06-03,lunch,辣子鸡,120,94,12,5.0,hot,,330
2026-06-03,lunch,牛肉面,80,62,14,6.0,hot,,330
2026-06-03,dinner,番茄炒蛋,100,79,8,3.0,hot,,330
2026-06-03,dinner,红烧茄子,90,71,7,2.5,hot,,330
2026-06-03,dinner,辣子鸡,120,94,12,5.0,hot,,330
2026-06-03,dinner,牛肉面,80,62,14,6.0,hot,,330
2026-06-04,lunch,番茄炒蛋,100,86,8,3.0,hot,,345
2026-06-04,lunch,红烧茄子,90,75,7,2.5,hot,,345
2026-06-04,lunch,辣子鸡,120,102,12,5.0,hot,,345
2026-06-04,lunch,牛肉面,80,68,14,6.0,hot,,345
2026-06-04,dinner,番茄炒蛋,100,86,8,3.0,hot,,345
2026-06-04,dinner,红烧茄子,90,75,7,2.5,hot,,345
2026-06-04,dinner,辣子鸡,120,102,12,5.0,hot,,345
